StudentId,Race,Gender,ClassId,Teacher
74,Atlantean,M,8,TeacherD
82,Venutian,F,8,TeacherD
90,Martian,M,8,TeacherD
98,Liliputian,F,8,TeacherD
106,Venutian,F,8,TeacherD
114,Martian,M,8,TeacherD
122,Atlantean,F,8,TeacherD
130,Atlantean,NB,8,TeacherD
138,Venutian,F,8,TeacherD
146,Atlantean,NB,8,TeacherD
154,Martian,M,8,TeacherD
162,Liliputian,M,8,TeacherD
170,Atlantean,M,8,TeacherD
178,Liliputian,M,8,TeacherD
186,Liliputian,F,8,TeacherD
194,Atlantean,F,8,TeacherD
202,Liliputian,M,8,TeacherD
210,Atlantean,F,8,TeacherD
218,Martian,M,8,TeacherD
226,Martian,M,8,TeacherD
234,Atlantean,NB,8,TeacherD
